,depth,id,remodel,unchanged,resorb,quad,bone_type,load,posi
105,10-15,LateralTrabecular_STD_75,22.044172875,63.5370605,14.4187665,Lateral,Trabecular,75,STD
106,10-15,AnteriorTrabecular_STD_75,31.6449895,65.162896875,3.19211375,Anterior,Trabecular,75,STD
107,10-15,PosteriorTrabecular_STD_75,19.323089375000002,67.498513125,13.178397875,Posterior,Trabecular,75,STD
108,10-15,MedialTrabecular_STD_45,33.721306,50.46788225,15.810811874999999,Medial,Trabecular,45,STD
109,10-15,LateralTrabecular_STD_45,22.438837875,61.27158425,16.289578125,Lateral,Trabecular,45,STD
110,10-15,AnteriorTrabecular_STD_45,31.7508335,65.206031,3.0431356249999997,Anterior,Trabecular,45,STD
111,10-15,PosteriorTrabecular_STD_45,18.773253375,66.400948125,14.825798625000001,Posterior,Trabecular,45,STD
112,10-15,MedialCortical_SUP_75,4.83667525,65.00326075,30.16006375,Medial,Cortical,75,SUP
113,10-15,LateralCortical_SUP_75,5.410737375,15.063238375000001,79.52602425,Lateral,Cortical,75,SUP
114,10-15,AnteriorCortical_SUP_75,64.0361685,35.651138625,0.312692875,Anterior,Cortical,75,SUP
115,10-15,PosteriorCortical_SUP_75,12.280855375000002,52.67378825,35.04535625,Posterior,Cortical,75,SUP
116,10-15,MedialCortical_SUP_45,7.4533573749999995,67.43833325,25.108309499999997,Medial,Cortical,45,SUP
117,10-15,LateralCortical_SUP_45,5.765742375,16.33564925,77.8986085,Lateral,Cortical,45,SUP
118,10-15,AnteriorCortical_SUP_45,64.8460835,34.811684,0.3422325,Anterior,Cortical,45,SUP
119,10-15,PosteriorCortical_SUP_45,7.201939625,56.38538575,36.412674375,Posterior,Cortical,45,SUP
120,10-15,MedialTrabecular_SUP_75,47.268011625,44.95556475,7.776424,Medial,Trabecular,75,SUP
121,10-15,LateralTrabecular_SUP_75,19.85770625,63.15003525,16.992258624999998,Lateral,Trabecular,75,SUP
122,10-15,AnteriorTrabecular_SUP_75,60.236750625,37.485719,2.27753025,Anterior,Trabecular,75,SUP
123,10-15,PosteriorTrabecular_SUP_75,29.9035295,60.936924000000005,9.159546375,Posterior,Trabecular,75,SUP
124,10-15,MedialTrabecular_SUP_45,47.419469125,44.30857475,8.271956124999999,Medial,Trabecular,45,SUP
125,10-15,LateralTrabecular_SUP_45,18.99524275,62.500935625,18.503821875,Lateral,Trabecular,45,SUP
126,10-15,AnteriorTrabecular_SUP_45,62.436512875,35.44703375,2.1164535,Anterior,Trabecular,45,SUP
127,10-15,PosteriorTrabecular_SUP_45,29.357938750000002,58.803533125,11.838527875,Posterior,Trabecular,45,SUP
128,10-15,MedialCortical_INF_75,26.618427875,53.252363875,20.12920825,Medial,Cortical,75,INF
129,10-15,LateralCortical_INF_75,2.406308,4.305065375,93.288626625,Lateral,Cortical,75,INF
130,10-15,AnteriorCortical_INF_75,48.267808,44.5675965,7.1645955,Anterior,Cortical,75,INF
131,10-15,PosteriorCortical_INF_75,26.739952625,15.941920375,57.318127000000004,Posterior,Cortical,75,INF
132,10-15,MedialCortical_INF_45,29.487384125,53.477337375000005,17.035278375,Medial,Cortical,45,INF
133,10-15,LateralCortical_INF_45,1.9802157500000002,5.613310374999999,92.406474,Lateral,Cortical,45,INF
134,10-15,AnteriorCortical_INF_45,48.85627125,45.044328875000005,6.099400125,Anterior,Cortical,45,INF
135,10-15,PosteriorCortical_INF_45,23.942967000000003,17.39333,58.663703125,Posterior,Cortical,45,INF
136,10-15,MedialTrabecular_INF_75,62.99693125,30.27432225,6.728746375,Medial,Trabecular,75,INF
137,10-15,LateralTrabecular_INF_75,13.4106785,19.554359875,67.0349615,Lateral,Trabecular,75,INF
138,10-15,AnteriorTrabecular_INF_75,38.94810125,38.166716875,22.885181875,Anterior,Trabecular,75,INF
139,10-15,PosteriorTrabecular_INF_75,28.659917749999998,30.1455085,41.194573999999996,Posterior,Trabecular,75,INF
140,10-15,MedialTrabecular_INF_45,61.46656725,30.641915125,7.891518,Medial,Trabecular,45,INF
141,10-15,LateralTrabecular_INF_45,13.371816875,21.5249925,65.10319075,Lateral,Trabecular,45,INF
142,10-15,AnteriorTrabecular_INF_45,39.8760525,38.717173125,21.406774125,Anterior,Trabecular,45,INF
143,10-15,PosteriorTrabecular_INF_45,28.346865875,30.579296624999998,41.073837499999996,Posterior,Trabecular,45,INF
144,15-20,MedialCortical_STD_75,16.702553625,79.96587087500001,3.33157525,Medial,Cortical,75,STD
145,15-20,LateralCortical_STD_75,4.934127125,46.194230875,48.871642125,Lateral,Cortical,75,STD
146,15-20,AnteriorCortical_STD_75,24.205284499999998,75.409542875,0.385172625,Anterior,Cortical,75,STD
147,15-20,PosteriorCortical_STD_75,12.689634250000001,83.930665875,3.379699875,Posterior,Cortical,75,STD
148,15-20,MedialCortical_STD_45,16.3391825,80.761193375,2.899624375,Medial,Cortical,45,STD
149,15-20,LateralCortical_STD_45,3.818739125,40.137183375,56.044077375,Lateral,Cortical,45,STD
150,15-20,AnteriorCortical_STD_45,25.4256295,73.95061925,0.6237512500000001,Anterior,Cortical,45,STD
151,15-20,PosteriorCortical_STD_45,8.856564375,83.789103625,7.354332,Posterior,Cortical,45,STD
152,15-20,MedialTrabecular_STD_75,54.3092865,36.104012625,9.586701,Medial,Trabecular,75,STD
153,15-20,LateralTrabecular_STD_75,10.450548,75.0703385,14.479113375,Lateral,Trabecular,75,STD
154,15-20,AnteriorTrabecular_STD_75,22.8308315,72.669027875,4.500140625,Anterior,Trabecular,75,STD
155,15-20,PosteriorTrabecular_STD_75,8.127446875,77.44966375,14.4228895,Posterior,Trabecular,75,STD
156,15-20,MedialTrabecular_STD_45,51.632884875,38.25523375,10.1118815,Medial,Trabecular,45,STD
157,15-20,LateralTrabecular_STD_45,9.21057425,74.036422875,16.753003,Lateral,Trabecular,45,STD
